t_index         term            df
8458            morn            138
8459            moroccan        1
8460            morocco         8
8461            moros           1
8462            morph           1
8463            morrano         1
8464            morri           2
8465            morrisvil       2
8466            mortal          2
8467            mortar          4
8468            morton          3
8469            moscow          79
8470            mosqu           14
8471            mosquito        1
8472            mossad          1
8473            mostli          45
8474            mostvisit       1
8475            mostwant        7
8476            motahar         1
8477            motel           8
8478            motelapart      1
8479            moth            1
8480            mother          64
8481            motherland      1
8482            motherless      1
8483            motion          11
8484            motiv           19
8485            motley          1
8486            motor           19
8487            motorbik        1
8488            motorcad        11
8489            motorcycl       6
8490            motorist        1
8491            motsak          4
8492            motto           2
8493            mound           11
8494            mount           38
8495            mountain        37
8496            mountainsid     6
8497            mountaintop     1
8498            mourn           21
8499            mourner         12
8500            mourton         1
8501            mouth           4
8502            mouthpiec       3
8503            move            211
8504            movement        37
8505            mover           3
8506            movi            9
8507            moviestar       1
8508            mow             2
8509            moya            10
8510            moynihan        5
8511            moyo            1
8512            mozambiqu       2
8513            mph             16
8514            mr              151
8515            mra             2
8516            mrclinton       1
8517            ms              4
8518            msnbc           5
8519            mtv             1
8520            mubarak         6
8521            much            251
8522            muchawait       1
8523            muchtalkedabout 1
8524            mud             23
8525            mudbrick        2
8526            mudcov          1
8527            muddi           4
8528            muddl           3
8529            mudslid         5
8530            mueller         5
8531            muezzin         1
8532            muffl           3
8533            mug             2
8534            mugab           1
8535            muham           1
8536            muhammad        7
8537            mujahedeen      1
8538            mujahedin       1
8539            mujahid         1
8540            mull            3
8541            mullah          1
8542            mulligan        1
8543            mullin          9
8544            mulshankar      3
8545            multifacet      2
8546            multilingu      1
8547            multimillion    1
8548            multimillionair 3
8549            multimilliondollar 2
8550            multin          4
8551            multiparti      2
8552            multipl         11
8553            multipli        1
8554            multistori      7
8555            multitud        2
8556            mum             2
8557            mumbai          1
8558            munchak         1
8559            mundan          2
8560            munich          1
8561            municip         17
8562            munit           3
8563            muprhi          1
8564            muqbel          1
8565            murder          52
8566            murdoch         1
8567            murk            1
8568            murki           3
8569            murmansk        5
8570            murmosk         1
8571            murousi         1
8572            murphi          21
8573            murray          2
8574            murtza          1
8575            muscl           4
8576            muscular        1
8577            muse            1
8578            museum          7
8579            musharraf       4
8580            music           13
8581            musician        2
8582            muslim          58
8583            must            123
8584            mustach         2
8585            muster          1
8586            mustnt          3
8587            mute            9
8588            mutil           2
8589            mutin           1
8590            mutini          7
8591            muttawakil      1
8592            mutter          1
8593            mutual          1
8594            myakka          1
8595            myasthenia      1
8596            mydan           1
8597            myer            4
8598            myong           2
8599            mysteri         17
8600            mystiqu         1
8601            myth            2
8602            mythic          1
8603            n               71
8604            naacp           1
8605            nab             2
8606            nabil           1
8607            nachtig         4
8608            nacion          1
8609            nadejda         1
8610            nader           12
8611            nadia           1
8612            nadler          1
8613            nadu            1
8614            nagel           1
8615            nagl            1
8616            nagyova         3
8617            nailbit         1
8618            nailstud        2
8619            naina           5
8620            nainabehn       1
8621            nairobi         6
8622            nairri          1
8623            naiv            1
8624            naji            1
8625            najjar          1
8626            nake            2
8627            nam             4
8628            namast          1
8629            nambiar         1
8630            name            162
8631            namesak         1
8632            namrata         5
8633            nanci           3
8634            nanni           1
8635            nanuet          1
8636            naoya           1
8637            nap             2
8638            narayan         2
8639            narayanan       1
8640            narbheram       1
8641            narcot          13
8642            narr            1
8643            narrow          28
8644            narrowlan       1
8645            narrowli        9
8646            nasa            1
8647            nasdaq          1
8648            nashvil         7
8649            nasir           1
8650            nasr            1
8651            nassou          2
8652            nasti           1
8653            nastier         1
8654            natalia         1
8655            nath            1
8656            nati            1
8657            nation          331
8658            nationalcop     1
8659            nationalist     15
8660            nationwid       21
8661            nativ           18
8662            nato            47
8663            natol           1
8664            natop           1
8665            natta           1
8666            natter          11
8667            natur           48
8668            nauf            1
8669            navajo          4
8670            naval           108
8671            navarro         1
8672            navasota        1
8673            navcentpag      2
8674            navel           1
8675            navi            230
8676            navig           2
8677            navnirman       1
8678            navpalib        4
8679            navrotski       8
8680            navstanorva     1
8681            navyblu         1
8682            navyl           1
8683            navymen         2
8684            navytown        1
8685            nazi            3
8686            nbc             65
8687            nbcnew          1
8688            ne              1
8689            nea             1
8690            near            179
8691            nearbi          66
8692            nearest         1
8693            nearli          115
8694            nearmiracul     1
8695            nearsavag       2
8696            neat            4
8697            neatli          1
8698            neb             1
8699            nebojsa         15
8700            nebraska        4
8701            necess          2
8702            necessari       30
8703            necessarili     8
8704            necessit        3
8705            neck            6
8706            neckandneck     3
8707            ned             1
8708            need            210
8709            needi           1
8710            neediest        1
8711            needl           1
8712            neeman          1
8713            neg             12
8714            negat           1
8715            neglect         2
8716            neglig          4
8717            negoti          63
8718            neighbor        83
8719            neighborhood    54
8720            neighborli      5
8721            neither         38
8722            nelli           1
8723            nelson          8
8724            nemesi          4
8725            nemeth          1
8726            nena            1
8727            nenad           10
8728            nenadov         1
8729            nene            1
8730            neocommunist    7
8731            nepal           8
8732            nephew          5
8733            neruda          2
8734            nerv            5
8735            nervou          12
8736            nervous         4
8737            nese            1
8738            ness            1
8739            nest            1
8740            net             81
8741            netherland      15
8742            network         61
8743            neutral         4
8744            nevada          7
8745            never           143
8746            neversayquit    1
8747            nevertheless    9
8748            nevypolneniy    1
8749            new             401
8750            newark          1
8751            newburi         21
8752            newcomb         1
8753            newer           1
8754            newest          6
8755            newfound        2
8756            newli           34
8757            newlyw          2
8758            newport         2
8759            news            350
8760            newscast        7
8761            newslett        4
8762            newsmagazin     1
8763            newsnow         1
8764            newspap         58
8765            newsroom        1
8766            newsstand       1
8767            newsstori       4
8768            newsweek        3
8769            newswir         1
8770            next            235
8771            nextdoor        2
8772            nextofkin       1
8773            nexttolast      1
8774            nfl             1
8775            ng              2
8776            nga             4
8777            ngan            1
8778            ngo             2
8779            ngoc            2
8780            nguessan        2
8781            nguyen          4
8782            nhan            1
8783            nhema           1
8784            ni              10
8785            nic             1
8786            nicaragua       3
8787            nice            10
8788            niceti          1
8789            nich            1
8790            nichola         2
8791            nick            4
8792            nicknam         5
8793            nicodem         2
8794            nicol           3
8795            nicola          8
8796            nidal           1
8797            niec            1
8798            nielsen         1
8799            nien            2
8800            nieto           1
8801            nigeria         7
8802            nigerian        1
8803            night           196
8804            nightclub       3
8805            nightfal        3
8806            nightgown       2
8807            nightli         2
8808            nightmar        6
8809            nightmarish     1
8810            nighttim        5
8811            nighttimeincloud 1
8812            nightvis        1
8813            nikit           1
8814            nikol           2
8815            nikola          3
8816            niksic          2
8817            nimesh          1
8818            nin             2
8819            nina            5
8820            nine            37
8821            ninehour        1
8822            ninepag         1
8823            ninepoint       1
8824            ninestori       1
8825            nineti          1
8826            nineyearold     1
8827            nino            1
8828            ninth           20
8829            nip             2
8830            nirmala         1
8831            nissan          3
8832            nitex           2
8833            nitrat          1
8834            nittygritti     1
8835            nixon           17
8836            nleomf          1
8837            nn              1
8838            nobl            3
8839            nobleman        1
8840            nobodi          39
8841            nod             2
8842            noi             1
8843            nois            6
8844            noisi           1
8845            nolan           1
8846            noman           1
8847            nomin           17
8848            nomine          14
8849            nonchalantli    1
8850            nonclassifi     1
8851            nonclear        1
8852            noncommiss      1
8853            nondiscrimin    1
8854            none            44
8855            nonessenti      3
8856            nonetheless     9
8857            nonexist        5
8858            nongover        1
8859            nongovern       2
8860            nongovernment   1
8861            nonjew          1
8862            nonjewish       1
8863            nonmilitari     1
8864            nonmuslim       1
8865            nonneman        1
8866            nonpartisan     6
8867            nonpolit        2
8868            nonprofit       3
8869            nonsaudi        1
8870            nonsens         1
8871            nonspecif       1
8872            nonstat         1
8873            nonstop         4
8874            nonviol         8
8875            nonword         1
8876            nonyemeni       9
8877            noon            13
8878            noparolepelti   2
8879            norah           1
8880            norfolk         67
8881            norm            3
8882            normal          69
8883            normalci        1
8884            norman          19
8885            north           78
8886            northeast       10
8887            northeastern    6
8888            northern        59
8889            northernbas     3
8890            northup         4
8891            northward       1
8892            northwest       17
8893            northwestern    3
8894            norton          1
8895            norway          14
8896            norwegian       43
8897            norwegianown    1
8898            nose            3
8899            noshow          1
8900            nostalgia       1
8901            notabl          10
8902            notch           4
8903            note            70
8904            notebook        2
8905            noth            81
8906            notic           19
8907            notif           1
8908            notifi          20
8909            notion          4
8910            notori          6
8911            notorieti       1
8912            notr            2
8913            notwithstand    2
8914            nov             38
8915            novel           2
8916            novelist        2
8917            novemb          34
8918            novi            4
8919            novic           1
8920            novost          1
8921            novosti         3
8922            novot           1
8923            now200000       1
8924            nowaday         1
8925            nowdefunct      1
8926            nowdemolish     1
8927            nowdisqualifi   2
8928            nowfugit        1
8929            nowher          8
8930            nowoust         3
8931            npr             9
8932            ntsb            5
8933            nuanc           1
8934            nuclear         48
8935            nuclearpow      4
8936            nude            1
8937            nudg            3
8938            nuffer          1
8939            null            1
8940            nullifi         9
8941            numb            1
8942            number          145
8943            numer           21
8944            nun             1
8945            nuria           3
8946            nurs            8
8947            nurtur          2
8948            nuvajubhai      1
8949            nw              1
8950            ny              1
8951            o               4
8952            oa              2
8953            oakland         1
8954            oasi            2
8955            oath            13
8956            oathtak         1
8957            oaxa            1
8958            obannon         1
8959            obedi           2
8960            obey            9
8961            obituari        1
8962            object          36
8963            oblig           9
8964            obliqu          1
8965            obliter         2
8966            obrad           1
8967            obradov         3
8968            obrenovac       1
8969            obrien          1
8970            obscen          2
8971            obscur          5
8972            observ          45
8973            observatori     1
8974            obsess          2
8975            obstacl         14
8976            obstinaci       1
8977            obstruct        3
8978            obstructionist  1
8979            obtain          61
8980            obviou          12
8981            obvious         46
8982            obyazatelstv    1
8983            occas           19
8984            occasion        14
8985            occup           9
8986            occupi          16
8987            occur           67
8988            ocean           13
8989            ochoa           3
8990            oclock          2
8991            oconnel         1
8992            oct             112
8993            oct2000         1
8994            octob           75
8995            octopu          3
8996            odci            4
8997            odd             10
8998            odeh            1
8999            odium           1
9000            odlon           1
9001            odolon          1
9002            odonnel         3
9003            offbal          1
9004            offcamera       1
9005            offenc          1
9006            offend          13
9007            offens          16
9008            offer           128
9009            offic           364
9010            offici          496
9011            offpost         1
9012            offseason       2
9013            offshoot        1
9014            offshor         12
9015            offthecuff      1
9016            ofici           1
9017            often           62
9018            oftenthuggish   2
9019            ofussia         1
9020            ogen            1
9021            ognjen          1
9022            oh              14
9023            ohio            9
9024            oht             2
9025            oik             1
9026            oil             43
9027            oilconsum       1
9028            oildril         1
9029            oiler           2
9030            oilfield        1
9031            oili            4
9032            oilproduc       2
9033            oilrich         3
9034            oiltrad         1
9035            ojdan           3
9036            ok              15
9037            okay            8
9038            okaz            1
9039            okeef           1
9040            okla            2
9041            oklahoma        13
9042            oklia           1
9043            old             78
9044            olden           1
9045            older           9
9046            oldest          9
9047            oldfashion      1
9048            oldstyl         1
9049            oldtim          1
9050            oleg            2
9051            olga            3
9052            oliv            4
9053            oliva           2
9054            olivegreen      1
9055            olivera         5
9056            olivo           1
9057            oloroc          1
9058            olsen           3
9059            olson           1
9060            olymp           16
9061            olympia         3
9062            olympian        1
9063            om              1
9064            omah            1
9065            oman            4
9066            omar            9
9067            ombudsman       4
9068            omen            3
9069            omin            2
9070            omiss           2
9071            omit            2
9072            omnivor         1
9073            onal            1
9074            onboard         4
9075            onc             127
9076            oncebustl       1
9077            oncedomin       1
9078            onceformid      2
9079            oncefriendli    1
9080            oncemargin      1
9081            oncepow         2
9082            oncepromin      3
9083            oncourt         2
9084            one             590
9085            onebyon         1
9086            oneday          5
9087            onehour         2
9088            oneil           5
9089            oneinch         1
9090            oneparti        1
9091            onequart        3
9092            oneroom         1
9093            onesid          1
9094            onetenth        1
9095            onethird        3
9096            onetim          20
9097            onevot          1
9098            oneway          1
9099            oneyear         1
9100            ong             1
9101            ongo            14
9102            onkar           1
9103            onli            348
9104            onlin           1
9105            onlook          9
9106            onscen          1
9107            onsit           1
9108            onslaught       1
9109            onto            50
9110            onw             1
9111            onward          1
9112            op              1
9113            opec            1
9114            open            268
9115            openair         7
9116            openfront       2
9117            openli          16
9118            openspac        1
9119            oper            161
9120            opera           2
9121            opinion         23
9122            oppon           75
9123            opportun        30
9124            oppos           42
9125            opposit         186
9126            oppositioncontrol 5
9127            oppositionl     1
9128            oppositionrun   2
9129            opt             5
9130            optic           2
9131            optim           4
9132            optimist        12
9133            option          39
9134            opul            3
9135            opusa           1
9136            oracl           1
9137            oral            1
9138            orang           9
9139            orangereddish   1
9140            orano           1
9141            orat            2
9142            oratori         1
9143            orbit           1
9144            orchard         1
9145            orchestr        4
9146            ordeal          5
9147            order           131
9148            orderli         6
9149            ordin           1
9150            ordinari        16
9151            ordnanc         7
9152            ore             5
9153            oregon          10
9154            oregonstyl      1
9155            oreman          1
9156            org             13
9157            organ           115
9158            organiz         2
9159            orgi            1
9160            orient          5
9161            origin          46
9162            orissa          1
9163            orlando         4
9164            orlean          1
9165            orphan          1
9166            orrin           2
9167            ort             1
9168            ortega          2
9169            ortel           1
9170            orthodox        17
9171            orthoped        1
9172            ortiz           3
9173            osama           84
9174            oscar           5
9175            oshima          3
9176            oshman          6
9177            oskinoff        1
9178            oslo            2
9179            osprey          1
9180            osseo           1
9181            ostentati       1
9182            osteochondrosi  1
9183            ostrichlik      1
9184            otherwis        22
9185            otpor           2
9186            ottoman         5
9187            ouattara        30
9188            ought           13
9189            oui             1
9190            ould            1
9191            ouof            1
9192            ourselv         12
9193            oust            51
9194            ouster          9
9195            outboard        3
9196            outbreak        6
9197            outburst        3
9198            outclass        1
9199            outcom          46
9200            outcri          1
9201            outdoor         4
9202            outer           11
9203            outfit          6
9204            outgo           9
9205            outgrowth       2
9206            outgun          1
9207            outing          1
9208            outlast         4
9209            outlaw          8
9210            outlay          1
9211            outlet          4
9212            outli           1
9213            outlin          8
9214            outliv          1
9215            outmaneuv       3
9216            outmod          1
9217            outnumb         3
9218            outofst         2
9219            outplay         1
9220            outpol          16
9221            outpost         1
9222            outpour         5
9223            output          2
9224            outrag          21
9225            outrais         1
9226            outreach        1
9227            outright        21
9228            outserv         1
9229            outset          4
9230            outsid          175
9231            outskirt        4
9232            outsmart        3
9233            outspend        1
9234            outspent        3
9235            outspoken       4
9236            outstand        2
9237            outster         1
9238            outstrip        1
9239            outtara         1
9240            outvot          1
9241            outward         3
9242            outwardli       1
9243            outweigh        2
9244            oval            4
9245            ovat            1
9246            overabund       1
9247            overal          6
9248            overbil         1
9249            overboard       2
9250            overcam         8
9251            overcom         13
9252            overconfid      3
9253            overcrowd       1
9254            overdo          1
9255            overdu          1
9256            overec          1
9257            overestim       1
9258            overextend      1
9259            overflow        4
9260            overh           1
9261            overhaul        3
9262            overhead        13
9263            overjoy         1
9264            overlap         1
9265            overli          2
9266            overload        3
9267            overlook        8
9268            overnight       25
9269            overpaid        1
9270            overpow         17
9271            overreact       1
9272            overrid         3
9273            overrul         1
9274            overrun         2
9275            oversaw         5
9276            overse          29
9277            oversea         25
9278            overshadow      10
9279            oversight       1
9280            overst          2
9281            overstay        1
9282            overstep        1
9283            overt           3
9284            overtak         2
9285            overtaken       1
9286            overthrew       5
9287            overthrow       9
9288            overthrown      4
9289            overtim         2
9290            overtli         1
9291            overton         1
9292            overtook        1
9293            overtur         2
9294            overturff       1
9295            overturn        16
9296            overwhelm       27
9297            overwhelmingli  2
9298            overwrought     1
9299            overzeal        2
9300            owe             12
9301            owen            9
9302            owner           20
9303            ownership       1
9304            oxfam           1
9305            oxfamamerica    1
9306            oxygen          1
9307            oyanguren       1
9308            p               77
9309            pa              18
9310            pabl            2
9311            pac             1
9312            pace            10
9313            pacif           15
9314            pack            32
9315            packag          4
9316            pact            7
9317            paddi           12
9318            paddl           1
9319            padella         1
9320            padlock         1
9321            pae             2
9322            page            23
9323            pageantri       2
9324            pager           1
9325            paid            30
9326            paig            1
9327            pain            31
9328            painstak        3
9329            painstakingli   3
9330            paint           11
9331            painter         1
9332            pair            20
9333            pajama          1
9334            pajoli          1
9335            pakistan        30
9336            pakistani       8
9337            palac           24
9338            palacio         2
9339            palanka         3
9340            pale            2
9341            palestin        11
9342            palestinian     47
9343            palestinianisra 4
9344            palestinianyemeni 1
9345            pall            2
9346            pallbear        1
9347            palm            4
9348            palmer          7
9349            palmsiz         1
9350            paltri          1
9351            pamper          1
9352            pamphlet        3
9353            pan             4
9354            panama          24
9355            panamanian      1
9356            panamerican     4
9357            panamericana    1
9358            panchal         1
9359            pandya          14
9360            paneagua        2
9361            panel           16
9362            paniagua        35
9363            panic           15
9364            panick          8
9365            panicstricken   1
9366            pant            1
9367            pantap          1
9368            panther         1
9369            pantsuit        1
9370            paola           3
9371            papandr         2
9372            paper           24
9373            paperwork       2
9374            parachut        1
9375            parad           21
9376            paradigm        1
9377            paradox         1
9378            parafinanci     2
9379            paraguay        3
9380            parallel        6
9381            paralys         1
9382            paralyz         1
9383            paramed         2
9384            paramilitari    10
9385            paranoia        3
9386            paranoiac       1
9387            paraphras       1
9388            parapleg        2
9389            parapolic       2
9390            parascientif    1
9391            pardon          91
9392            parent          60
9393            pari            9
9394            pariah          5
9395            parikh          1
9396            parishion       3
9397            park            48
9398            parlanc         3
9399            parlett         1
9400            parliament      58
9401            parliamentari   6
9402            parliamentarian 1
9403            parlor          1
9404            parmar          1
9405            parodi          1
9406            parol           16
9407            part            240
9408            parth           2
9409            parti           186
9410            partial         11
9411            particip        60
9412            particular      31
9413            particularli    41
9414            partisan        3
9415            partisanship    2
9416            partit          2
9417            partli          10
9418            partner         41
9419            partnership     5
9420            parvail         1
9421            pasariavich     1
9422            pascagoula      6
9423            pascual         2
9424            paso            10
9425            pasriavach      1
9426            pasriavich      1
9427            pasricha        1
9428            pass            82
9429            passag          7
9430            passageway      1
9431            passeng         5
9432            passion         10
9433            passiv          2
9434            passport        9
9435            past            140
9436            pasta           1
9437            pastim          1
9438            pastri          2
9439            pastur          1
9440            pat             13
9441            pataki          1
9442            patch           4
9443            patel           10
9444            patera          1
9445            patern          2
9446            path            17
9447            pathway         1
9448            patienc         5
9449            patient         19
9450            patriarch       1
9451            patricia        8
9452            patrick         55
9453            patriot         4
9454            patrol          20
9455            patron          1
9456            patronag        2
9457            patt            1
9458            patten          3
9459            pattern         12
9460            patti           6
9461            paubl           1
9462            pauciti         1
9463            paul            25
9464            paula           2
9465            pauli           1
9466            paus            8
9467            paval           1
9468            pave            7
9469            pavel           13
9470            pavelo          1
9471            pavement        4
9472            pavkov          9
9473            pavl            1
9474            pay             46
9475            payback         1
9476            paycheck        2
9477            payment         14
9478            payn            2
9479            payout          1
9480            payton          1
9481            pb              3
9482            pcp             1
9483            pdci            6
9484            peac            112
9485            peacekeep       7
9486            peacemak        2
9487            peacetre        1
9488            peacetreesvietnam 1
9489            peachcolor      1
9490            peak            1
9491            pearl           1
9492            pearland        2
9493            peas            3
9494            peasant         4
9495            peddl           10
9496            peddler         1
9497            pedestrian      3
9498            pedro           1
9499            peduca          1
9500            peek            1
9501            peer            3
9502            pejor           1
9503            pelev           1
9504            pelki           7
9505            pelt            4
9506            peltier         12
9507            pelvi           1
9508            pen             4
9509            pena            1
9510            penal           4
9511            penalti         19
9512            pencil          1
9513            pend            11
9514            penetr          7
9515            peng            2
9516            peninsula       43
9517            penitentiari    3
9518            penn            3
9519            pennsylvania    27
9520            pension         3
9521            pent            1
9522            pentag          1
9523            pentagon        125
9524            peopl           483
9525            pepper          3
9526            per             7
9527            perceiv         10
9528            percent         97
9529            percentag       12
9530            percept         3
9531            perch           6
9532            percol          1
9533            perdu           3
9534            perelman        1
9535            perez           13
9536            perezpena       1
9537            perfect         14
9538            perfectli       2
9539            perform         28
9540            pergram         1
9541            perhap          56
9542            peril           5
9543            perimet         2
9544            period          43
9545            peripher        1
9546            peris           1
9547            perish          9
9548            perjuri         6
9549            perk            1
9550            perman          15
9551            permiss         3
9552            permit          21
9553            perpetr         8
9554            perpetu         1
9555            persecut        10
9556            persever        3
9557            persian         66
9558            persiangulf     2
9559            persist         10
9560            person          110
9561            personifi       2
9562            personnel       60
9563            perspect        10
9564            persuad         27
9565            persuas         1
9566            pertain         1
9567            peru            62
9568            peruano         1
9569            perufujimori    1
9570            perus           1
9571            peruvian        50
9572            peruvianborn    1
9573            pervas          1
9574            pervers         1
9575            pervez          4
9576            peshawar        1
9577            pessag          1
9578            pessim          2
9579            pessimist       1
9580            pet             3
9581            pete            38
9582            peter           26
9583            petersberg      1
9584            petersburg      8
9585            petersen        2
9586            peterson        10
9587            petier          1
9588            petit           16
9589            petn            1
9590            petrova         1
9591            petti           6
9592            pew             2
9593            pezzor          2
9594            pham            3
9595            pharmaceut      4
9596            pharmaci        2
9597            phase           8
9598            phasedarray     1
9599            phenomenon      3
9600            pherchevia      1
9601            phieu           7
9602            phil            2
9603            philadelphia    3
9604            philanthrop     3
9605            philanthropi    4
9606            philanthropist  1
9607            philharmon      1
9608            philip          12
9609            philippin       3
9610            phillip         1
9611            philosophi      3
9612            phoenix         3
9613            phone           61
9614            phonein         2
9615            phonet          1
9616            phoni           2
9617            photo           24
9618            photograph      25
9619            phrase          6
9620            phylli          1
9621            physic          30
9622            physician       5
9623            pick            60
9624            pickax          1
9625            picket          5
9626            pickup          10
9627            picnic          2
9628            picnicstyl      1
9629            pictur          34
9630            picturetak      1
9631            piec            47
9632            piecem          1
9633            pier            8
9634            pierc           11
9635            pierr           1
9636            pietropaoli     1
9637            pig             5
9638            piggyback       2
9639            pike            1
9640            pile            24
9641            pilfer          1
9642            pilgrim         2
9643            pillar          16
9644            pillori         3
9645            pillow          1
9646            pillowcas       1
9647            pilot           28
9648            pin             9
9649            pincu           3
9650            pine            9
9651            pink            4
9652            pinkish         1
9653            pinochet        1
9654            pinpoint        2
9655            piolin          6
9656            pioneer         2
9657            pipe            6
9658            pipelin         6
9659            piper           1
9660            pistol          8
9661            pit             17
9662            pitch           8
9663            pitchblack      1
9664            pitkowski       1
9665            pittman         1
9666            pittsburg       2
9667            pittsburgh      3
9668            pivot           6
9669            pizza           2
9670            placard         1
9671            placardwav      2
9672            placat          2
9673            place           216
9674            plagu           10
9675            plain           4
9676            plainli         1
9677            plaintiff       1
9678            plaintiv        2
9679            plan            247
9680            planc           1
9681            plane           125
9682            planeload       9
9683            planner         2
9684            plant           19
9685            plantat         4
9686            planter         1
9687            plaster         2
9688            plastic         29
9689            plate           11
9690            plateau         3
9691            platform        19
9692            platt           1
9693            play            131
9694            player          53
9695            playoff         1
9696            playwright      2
9697            plaza           2
9698            plea            16
9699            plead           31
9700            pleas           27
9701            pleasur         8
9702            plebiscit       2
9703            pled            2
9704            pledg           68
9705            plenti          7
9706            pli             1
9707            plight          3
9708            plot            25
9709            plotnikov       2
9710            plotter         2
9711            plow            2
9712            ploy            1
9713            plu             19
9714            pluck           3
9715            plug            2
9716            plum            5
9717            plume           3
9718            plummet         6
9719            plung           13
9720            plural          1
9721            plush           1
9722            plust           1
9723            pmsea           2
9724            pneumat         2
9725            po              1
9726            pock            1
9727            pocket          20
9728            pocketbook      1
9729            podesta         1
9730            podgarica       1
9731            podgorica       3
9732            podium          3
9733            poet            1
9734            poignanc        1
