t_index         term            df
1055            afraid          28
1056            afredo          1
1057            africa          65
1058            african         48
1059            africanamerican 1
1060            aft             3
1061            aftehock        1
1062            aftermath       14
1063            afternoon       59
1064            aftershock      43
1065            afterward       13
1066            afundament      1
1067            agarw           1
1068            agassi          47
1069            agbayani        1
1070            age             35
1071            agenc           117
1072            agenda          14
1073            agent           83
1074            agglomer        1
1075            aggrav          12
1076            aggress         24
1077            agil            1
1078            agit            1
1079            ago             207
1080            agon            6
1081            agoni           3
1082            agonizingli     1
1083            agre            77
1084            agreement       49
1085            agricultur      15
1086            agustin         1
1087            ah              1
1088            aha             1
1089            ahead           53
1090            ahemdabad       1
1091            ahm             15
1092            ahmad           1
1093            ahmadabad       2
1094            ahmar           1
1095            ahmedabad       20
1096            ahold           1
1097            ahren           1
1098            ai              1
1099            aid             158
1100            aida            2
1101            ail             5
1102            ailment         1
1103            aim             35
1104            ainst           1
1105            air             170
1106            aircondition    1
1107            aircraft        27
1108            airdrop         2
1109            airfield        1
1110            airforc         1
1111            airlift         4
1112            airlin          6
1113            airlock         1
1114            airman          1
1115            airmen          11
1116            airplan         7
1117            airport         49
1118            airqual         1
1119            airstrik        4
1120            airtim          2
1121            airtoair        1
1122            airtraff        1
1123            airwav          1
1124            airway          3
1125            aisl            3
1126            aj              1
1127            ajax            1
1128            ajnar           3
1129            ajw             1
1130            akaka           2
1131            akan            2
1132            akin            3
1133            akishio         1
1134            akouedo         1
1135            al              74
1136            ala             4
1137            alabama         5
1138            alabidin        4
1139            alahmar         1
1140            alain           1
1141            alami           1
1142            alamoudi        1
1143            alan            5
1144            alarm           19
1145            alasan          1
1146            alaska          3
1147            alaskan         1
1148            alassan         27
1149            alayyam         1
1150            albadawi        1
1151            albani          1
1152            albania         1
1153            albanian        18
1154            albanianamerican 1
1155            albeit          4
1156            albert          1
1157            alberto         66
1158            albright        47
1159            album           1
1160            alce            3
1161            alcohol         5
1162            alehandr        1
1163            alejandro       14
1164            aleksa          1
1165            aleksandar      6
1166            aler            1
1167            alert           62
1168            alessio         4
1169            alex            10
1170            alexa           2
1171            alexand         9
1172            alexandria      1
1173            alexei          1
1174            alexeyev        1
1175            alexsand        1
1176            alfadhli        1
1177            alfonso         1
1178            alfr            2
1179            alfredo         1
1180            algamaa         2
1181            algamaat        1
1182            algeria         3
1183            algerian        5
1184            algerin         1
1185            alghashmi       1
1186            alhadith        1
1187            alhamdi         1
1188            alharazi        2
1189            alhassan        1
1190            ali             44
1191            alia            2
1192            alibi           1
1193            alien           3
1194            alight          1
1195            align           5
1196            alija           1
1197            alik            9
1198            aliryani        11
1199            alisan          2
1200            alisha          1
1201            alislamiya      2
1202            alislaymiyya    1
1203            aliv            84
1204            aljazeera       3
1205            aljefri         1
1206            aljihad         1
1207            alkhamri        1
1208            allafrica       1
1209            allah           1
1210            allahabad       2
1211            allahbad        1
